,s/a,w/c,s/c,a/c,smax/mm,Vf/%,l/d,fc0/MPa
234,0.44,0.36,1.16,2.62,15.0,1.5,45.0,49.1
235,0.44,0.36,1.18,2.66,15.0,0.5,65.0,49.1
236,0.44,0.36,1.17,2.63,15.0,1.0,65.0,49.1
237,0.44,0.36,1.16,2.62,15.0,1.5,65.0,49.1
238,0.44,0.36,1.18,2.66,15.0,0.5,80.0,49.1
239,0.44,0.36,1.17,2.63,15.0,1.0,80.0,49.1
240,0.44,0.36,1.16,2.62,15.0,1.5,80.0,49.1
241,0.67,0.42,1.74,2.6,20.0,0.5,60.0,47.53
242,0.67,0.42,1.74,2.6,20.0,1.0,60.0,47.53
243,0.67,0.42,1.74,2.6,20.0,1.5,60.0,47.53
244,0.67,0.42,1.74,2.6,20.0,2.0,60.0,47.53
245,0.67,0.42,1.74,2.6,20.0,1.5,40.0,47.53
246,0.67,0.42,1.74,2.6,20.0,1.5,80.0,47.53
247,0.54,0.24,1.11,2.06,20.0,0.5,55.0,103.6
248,0.54,0.24,1.11,2.06,20.0,0.75,55.0,103.6
249,0.54,0.24,1.11,2.06,20.0,1.0,55.0,103.6
250,0.54,0.24,1.11,2.06,20.0,1.5,55.0,103.6
251,0.47,0.5,1.97,4.19,25.0,0.5,30.0,37.04
252,0.47,0.5,1.97,4.19,25.0,1.0,30.0,37.04
253,0.47,0.5,1.97,4.19,25.0,1.5,30.0,37.04
254,0.47,0.5,1.97,4.19,25.0,2.0,30.0,37.04
255,0.47,0.45,1.53,2.84,25.0,0.5,30.0,41.85
256,0.47,0.45,1.53,2.84,25.0,1.0,30.0,41.85
257,0.47,0.45,1.53,2.84,25.0,1.5,30.0,41.85
258,0.47,0.45,1.53,2.84,25.0,2.0,30.0,41.85
259,0.46,0.4,1.24,2.67,25.0,0.5,30.0,47.84
260,0.46,0.4,1.24,2.67,25.0,1.0,30.0,47.84
261,0.46,0.4,1.24,2.67,25.0,1.5,30.0,47.84
262,0.46,0.4,1.24,2.67,25.0,2.0,30.0,47.84
263,1.69,0.42,2.79,1.65,12.5,0.5,80.0,48.5
264,1.69,0.42,2.79,1.65,12.5,1.0,80.0,48.5
265,0.67,0.45,2.0,3.0,16.0,0.5,60.0,37.9
266,0.67,0.45,2.0,3.0,16.0,1.0,60.0,37.9
267,0.67,0.45,1.96,2.9,16.0,1.5,60.0,37.9
268,0.67,0.45,1.91,2.87,16.0,2.0,60.0,37.9
269,0.53,0.51,1.94,0.53,14.0,1.5,70.0,19.94
